"Source","Target","Weight"
"Communication Technologies","Telecom Standards","1"
"Indian Reservoirs","Indira Sagar","1"
"Coriolis Force","Latitude Dependence","1"
"Legal Services Authorities Act","Free Legal Aid","1"
"Constitutional Philosophy","Fundamental Rights","1"
"Public Key Infrastructure","Digital Security","1"
"Solar Power Manufacturing","Silicon Wafers","1"
"Science & Technology","Innovation Programs","17"
"Fifth Generation Fighter Aircraft","Tejas","1"
"Space Missions & Microgravity","Gaganyaan","1"
"Number System","Order","1"
"Logical Reasoning","Letter Coding","1"
"Credit Rating Agencies","Brickwork Ratings","1"
"Delimitation Commissions","Constitutional Commissions","1"
"Rights & Social Order","Conventions","1"
"Lake Faguibine","Desertification","1"
"Logical Reasoning","Seating Arrangement","3"
"Barasingha Conservation","Kanha National Park","1"
"Opposition in Democracy","Checks and Balances","1"
"Number System","Equilateral Triangles","1"
"Methane Hydrates","Seafloor Deposits","1"
"Logical Reasoning","Syllogism","10"
"Constitution Amendment Ratification","Governor","1"
"Short-range Communication Tech","CCTV","1"
"Malnutrition & Public Health","Child Nutrition","1"
"Climate Change & Water Resources","Hydrological Cycle","1"
"GM Mustard","Hybridization","1"
"Science & Faith","Spirituality","1"
"Gold Monetization Policy","Gold Imports","1"
"Permutation & Combination","Binary Sequences","1"
"Teesta River System","River Rangeet","1"
"Governance Accountability","Civil Services Reform","4"
"Historical Places & Present States","Sthaneshvara","1"
"Energy Policy & Climate Transition","Renewable Initiatives","1"
"Chess Olympiad 2022","Chennai","1"
"Insect Classification","Pond Skater","1"
"Number System","Prime-based","1"
"Big Cats Behavior","Leopard Scent","1"
"Logical Reasoning","Data Sufficiency","37"
"UNCCD","Technology Applications","1"
"Indian National Movement","Surat Split (1907)","1"
"MSME Classification & Priority Sector","Priority Sector Lending","1"
"Directive Principles","Legislative vs Executive FunctionsNature","1"
"Permutation & Combination","Positions","1"
"Nuclear Security Governance","Nuclear Security Summits","1"
"Solid Waste Management Rules 2016","Landfill Criteria","1"
"Solar Storm Impacts","Power Grids","1"
"Rajya Sabha Powers","All India Services","1"
"Climate Justice","Compensation","1"
"Mughal Painting","Manuscript Art","1"
"100 Million Farmers Initiative","Farmer Resilience","1"
"71st Amendment Languages","Konkani","1"
"Ratio & Proportion","Conditions","1"
"Carbon Fibre Materials","Recycling","1"
"Bird Identification","Nightjar","1"
"Indian Ocean Dipole","Climate Variability","1"
"Kishangarh School of Painting","Bani Thani","1"
"Andes Mountains Countries","Bolivia","1"
"Presidential Election","Electoral College","1"
"Science and Society","War and Progress","1"
"Education System & Learning Outcomes","One-size-fits-all","1"
"Nitric Oxide Physiology","Vasodilation","1"
"Aadhaar & Identity","UIDAI","1"
"Metagenomics","Air Sampling","1"
"GPS Applications","Banking","1"
"Indian Waterfalls","Hundru","1"
"Internal Security & Preventive Detention","Article 355","1"
"Chauri Chaura Defence","Defence Lawyers","1"
"Nature Restoration Law","Biodiversity Policy","1"
"Logical Reasoning","Algebraic ComparisonInequalities","1"
"Physical Geography","Coastal Processes","2"
"Battery Cathode Materials","Lithium","1"
"Chess Records","Gukesh","1"
"Human Evolution & Lactose Tolerance","Genetic Adaptation","1"
"Media & Democratic Accountability","Media Responsibility","1"
"Crony Capitalism","Oligarchies","1"
"Number System","Algebraic Reasoning","1"
"Electoral Rights","Constitutional Right","1"
"Critical Minerals Policy","Minerals Security Partnership","1"
"Mahayana Buddhism","Image Worship","1"
"MPLADS Scheme","SC/ST Allocation","1"
"European Travellers in India","Diamond Mines","1"
"Judicial Impeachment Process","Parliament","1"
"Invasive Species","Alien Species","1"
"European Trading Powers in India","Dutch Factories","1"
"Number System","Mod Arithmetic","1"
"Non-Fungible Tokens","Unique Tokens","1"
"Artificial Intelligence Applications","Text-to-Speech","1"
"Number System","Work","1"
"Major Minerals","Kyanite","1"
"Central Ground Water Authority","Groundwater Regulation","1"
"Government Schemes","Scheme Objectives","9"
"Debt vs Equity Risk","Bondholders Priority","1"
"RBI Forex & Monetary Operations","Forex Intervention","1"
"Infrastructure Investment Trusts","InvITs Taxation","1"
"Constitutional Immunities","Governor Immunity","1"
"Number System","Inclusion-Exclusion","2"
"Number System","Rotation","1"
"Cultural Traditions & Festivals","Chapchar Kut","1"
"100 Million Farmers Initiative","Net-zero Agriculture","1"
"Coal Sector Nationalization","Energy Policy","1"
"Judicial Review & Constitutional Amendments","High Courts","1"
"Logical Reasoning","Logic Grid","9"
"Liberty","Positive vs Negative Liberty","1"
"Effective Exchange Rate","Inflation Differential","1"
"Bengal Exports","Saltpetre","1"
"Desert National Park","Rajasthan Protected Areas","1"
"Averages","Error","1"
"Historical Lessons for Leadership","Leadership Traits","1"
"Chess Olympiad 2022","Mascot Thambi","1"
"Logical Reasoning","Age Ratio","1"
"Bhakti Saints","Chaitanya","1"
"Wildlife Corridors & Conservation","Habitat Connectivity","2"
"Paris Agreement Article 6","Carbon Markets","1"
"North Sea Bordering Countries","Norway","1"
"Synthetic Biology","Lab Replication","1"
"Merchant Discount Rate","MDR","1"
"Number System","Repeating 9s","1"
"Value of Research","Practical Value","1"
"Number System","Opposite Order","1"
"Equalization Levy","DTAA","1"
"Flood & Drought Management","Water Storage","1"
"Logical Reasoning","Equations","1"
"Enforcement Agencies","ED","1"
"Cultural Relativism & Universal Values","Common Humanity","1"
"Indian Hill Ranges","Seshachalam","1"
"Time & Work","with Slippage","1"
"Parliamentary Procedures","Election Rules","1"
"Gupta Period Maritime Trade","Foreign Trade","1"
"Charter Act 1813","British Parliament","1"
"Climate Justice","Adaptation","1"
"Fiscal-Monetary Policy Interaction","Debt Dynamics","1"
"Number System","Chinese Remainder","1"
"Ratio & Proportion","Ratios","1"
"Averages","Effect of Transfer","1"
"Right to Equality","Article 17","1"
"Number System","Averages","4"
"Averages","Relative Speed","1"
"Prorogation & Dissolution","Council Advice","1"
"Number System","Last Two Digits","2"
"Bird Identification","Golden Mahseer (Fish)","1"
"Logical Reasoning","Symbolic Relations","1"
"Number System","Letter Blocks","1"
"Logical Reasoning","Grouping & Selection","1"
"Climate-Smart Agriculture","GACSA","1"
"Raja Ram Mohan Roy","Rationalism","1"
"General Relativity","Spacetime Curvature","1"
"Stressed Assets Resolution","Banking Reforms","2"
"Ratio & Proportion","Transfer Process","1"
"Number System","Divisibility by 4","1"
"Monetary Policy","Central Banks","1"
"Government Schemes","Policy Implementation","9"
"Climate Change & Agriculture","Climate Adaptation","1"
"Logical Reasoning","Propositional Logic","1"
"Stressed Assets Resolution","IBC","1"
"Number System","Roots","1"
"Coal Pollution & Ash","Heavy Metals","1"
"Food Safety Regulation","Food Safety and Standards Act","1"
"Unnat Bharat Abhiyan","Rural Development","1"
"Battery Cathode Materials","Cobalt","1"
"Climate and Clean Air Coalition","International Partnership","1"
"Fungi Properties","Medicinal","1"
"ASI & Archaeology in India","Burgess","1"
"Ecosystem Conservation vs Livelihoods","Biodiversity","1"
"Climate Change & Polar Ecosystems","Arctic Sea Ice","1"
"GM Technology & IPR","Intellectual Property","2"
"Number System","Work Rates","1"
"RBI Forex & Monetary Operations","Open Market Operations","1"
"Indian National Movement","Nationalist Leaders","1"
"Trade Union Movement","Labour Leaders","1"
"RBI Income Sources","Open Market Operations","1"
"Crop Disease Risk & Genetic Diversity","Food Security","1"
"Political Parties & Leaders","Jana Sangh","1"
"Global Food Security","Food Supply Chains","1"
"Higher Education Pedagogy","Critical Thinking","1"
"Fertilizer Production & Pricing","Urea","1"
"Nitrogen-fixing Plants","Chickpea","1"
"Xerophytic Adaptations","Leaf Modifications","5"
"Santhal Parganas","Land Transfer Restrictions","1"
"Number System","Two-Digit","1"
"Edible Oil Imports","Agricultural Imports","1"
"Parliamentary Accountability","Supplementary Questions","1"
"Environment & Health Behavior","Lifestyle Change","1"
"Historical Places & Present States","Dwarasamudra","1"
"Plastics in Products","Tyres","1"
"Cultural Relativism & Universal Values","Common Values","1"
"Sea Turtles & Marine Reptiles","Carnivory","1"
"Polar Code","Polar Waters","1"
"BRICS 16th Summit","Theme","1"
"Anti-Defection Law","Presiding Officer Delay","1"
"Digital Economy & Privacy","Data Protection","1"
"GPS Applications","Navigation","1"
"Poverty Measurement","Rural-Urban Diversity","1"
"Parasitoid Species","Flies","1"
"Truthfulness & Morality","Truth and Lies","1"
"Number System","Circles","2"
"Number System","Constraints","5"
"Logical Reasoning","Logical Deduction","7"
"Indian Cave Sites","Sittanavasal","1"
"Number System","Time","1"
"Number System","Interval Arithmetic","1"
"Bioremediation","Biodegradation","1"
"Percentage","Percentage Increase","1"
"Particularly Vulnerable Tribal Groups","PVTG Criteria","1"
"Unemployment & Aspirations","Education Expectations","1"
"Number System","Citizen Rights","1"
"Percentage","Percent of Total","2"
"Legal Tender","Money and Banking","1"
"Fiscal Responsibility & Debt","FRBM Review","1"
"Biodiversity Management Committees","Nagoya Protocol","1"
"Biofuel Feedstocks","Non-food Feedstocks","1"
"Permutation & Combination","Selection","1"
"Artificial Intelligence Applications","Industrial Efficiency","1"
"Indian Hill Ranges","Amarkantak","1"
"Medieval Ports & Trade","Kakatiya Kingdom","1"
"Number System","Letter-Number Mapping","2"
"Productive Employment & Inclusion","Informal Sector Jobs","1"
"Gupta Period Maritime Trade","Port Towns","1"
"Payment Data Localization","Data Storage","1"
"Sustainable Diets & Resources","Dietary Choices","1"
"Number System","Angles","1"
"Alternative Powertrain Vehicles","Hybrid","1"
"Time, Speed & Distance","Graph Interpretation","1"
"Alternative Powertrain Vehicles","BEV","1"
"Democratic Political Maturity","Democratic Legitimacy","1"
"Soil Erosion & Food Security","Soil Degradation","1"
"Afghanistan Bordering Countries","Turkmenistan","1"
"Logical Reasoning","Conclusions","8"
"Software as a Service","SaaS","1"
"Distributed Energy Resources","Battery Storage","1"
"Percentage","Ratio","2"
"Yogavasi??ha Translation","Nizamuddin Panipati","1"
"Number System","Two-Digit Numbers","1"
"Paleoclimate Change","PETM","1"
"Writ of Prohibition","Judicial Review","1"
"Logical Reasoning","Rank","1"
"Countries with Many Time Zones","Australia","1"
"Jain Philosophy","Jiva in All Things","1"
"Self-Help Groups","Microcredit","1"
"Import Cover","Innovation Programs","1"
"Judicial Review & Constitutional Amendments","Supreme Court","1"
"Permutation & Combination","Coin Change","1"
"Number System","Factors of 10","1"
"Bureaucracy in India","Policy Implementation","1"
"Environment Protection Act 1986","Public Participation","1"
"Number System","Per Capita Income","1"
"Consumer Product Safety","Monosodium Glutamate","1"
"Radiative Cooling & Clouds","Dew Formation","1"
"Number System","Fractions","4"
"System of Rice Intensification","Water Management","1"
"Emerging Technologies","Blockchain","1"
"Number System","Fraction Conversion","1"
"Unified Payments Interface","Payments Infrastructure","1"
"Ecosystem Conservation vs Livelihoods","Resource Sharing","1"
"Inter-State River Water Governance","Federalism","1"
"Number System","Density of Water","1"
"Miyawaki Method","Afforestation","1"
"Historical Injustice & Social Discrimination","Social Discrimination","2"
"Famine in Somalia","Food Crisis","1"
"Indian Squirrels Behavior","Food Caching","1"
"Permutation & Combination","Symmetry","1"
"Number System","Income Comparison","1"
"Constitutional Provisions Mapping","DPSP","1"
"Logical Reasoning","Order Constraints","1"
"Household Financial Savings & Public Debt","Government Securities","1"
"Equator & Water Bodies","Tonle Sap","1"
"Number System","Multiplication","2"
"Lakes in India","Artificial Lake","1"
"Opposition in Democracy","Governance","1"
"Social Nature of Man","Human Society","1"
"Methane Hydrates","Arctic Tundra","1"
"Permutation & Combination","Integer Solutions","1"
"Senkaku Islands Dispute","China-Japan","1"
"Ratio & Proportion","Linear Equations","2"
"Permutation & Combination","Counting Parallelograms","1"
"Logical Reasoning","Oldest/Youngest","1"
"Currency Management","Monetary Policy","1"
"Number System","Sector Angles","1"
"Ratio & Proportion","Segment Division","1"
"Agricultural Imports","Vegetable Oils","1"
"Economic Freedom & Education Investment","Human Capital","1"
"Sugarcane Cultivation Techniques","Tissue Culture","1"
"Profit & Loss","Ratio","1"
"Alternative Investment Funds","Hedge Funds","1"
"Number System","Trend Analysis","3"
"PFAS Pollution","Bioaccumulation","1"
"Community Reserve","Wildlife","1"
"Indian Cave Sites","Besnagar","1"
"Ukraine Neighbors","Slovakia","1"
"Ghadar Party Associates","Revolutionary Networks","1"
"NATO Membership","Croatia","1"
"Wildlife Protection Act","Wildlife Law","1"
"Ashokan Rock Edicts","Jaugada","1"
"Stressed Assets Resolution","S4A Scheme","1"
"CRISPR-Cas9","Gene Editing","1"
"Election Commission of India","Election Administration","1"
"Microplastic Pollution","Cosmetics","1"
"Ukraine Neighbors","Romania","1"
"Truthfulness & Morality","Ethical Conduct","1"
"Number System","Factorization","2"
"Economic Liberalization","Forex Reserves","1"
"BIMSTEC","Members","1"
"FCI Economic Cost","Procurement","1"
"Indian Hill Ranges","Biligirirangan","1"
"Number System","Letter Series","1"
"State-Level Climate Action","Regional Planning","1"
"Money Bill Procedure","Rajya Sabha Role","1"
"Global Food Security","Food Affordability","1"
"Structural Change in Employment","Labour Productivity","1"
"Averages","Linear Equations","2"
"Seismic Waves","S Waves","1"
"Directive Principles of State Policy","Welfare State","1"
"Climate Finance & Policy","Development Needs","1"
"Reservation & Efficiency","Article 335","1"
"North Sea Bordering Countries","Germany","1"
"Alternative Investment Funds","Venture Capital","1"
"Number System","Factor Powers","1"
"Council of Ministers & 91st Amendment","15% Cap","1"
"Permutation & Combination","Arrangements","2"
"Biotechnology Regulation & GM Crops","Climate Adaptation","2"
"Crop Disease Risk & Genetic Diversity","Disease Migration","1"
"Gandhi???s Sedition Quote","Dandi Salt March","1"
"Indian Waterfalls","Dhuandhar","1"
"Rights and Duties","Correlative Rights","1"
"Lok Sabha Exclusive Powers","No-Confidence Motion","1"
"Percentage","Proportion","1"
"Nitrogen Use Efficiency","Pollution","1"
"Number System","Alphabet Mapping","2"
"Urban Water Governance","User Charges","1"
"Solar Power Projects in India","Floating Solar","1"
"Green Technology Transition","Solar Costs","1"
"RBI Governance","Government Directions","45"
"Land Reforms","Redistribution","1"
"Sun Temples in India","Arasavalli","1"
"Ecosystem Conservation vs Livelihoods","Livelihoods","1"
"Union vs State Subjects","Quarantine","1"
"Public Health & Community Hygiene","Sanitation","1"
"Science & Human Progress","Scientific Knowledge","1"
"Crop Diversity & Food Security","Climate Change","1"
"Kulah-Daran","Sayyids","1"
"Indian Federalism","Legislative Powers","1"
"Investment Risk & Asset Allocation","Diversification","1"
"Employment & Economic Growth","Organized Sector Jobs","1"
"Seismic Waves","Seismograph","1"
"Nuclear Suppliers Group","International Regimes","1"
"India CO2 Emissions Profile","Sector Sources","1"
"Number System","Installments","1"
"IBRD Role","Middle-Income Loans","1"
"Big Cats Behavior","Cheetah Roar","1"
"Himalayan Peaks","Nokrek","1"
"Himalayan National Parks","Alpine Zone","2"
"Number System","Prime Factors","2"
"Conflict Regions","Tigray","1"
"Cyber Insurance","Malware Restoration","1"
"Banking System Reforms","Industrial Credit","1"
"Number System","Logical Comparison","1"
"Buddhist Text Commentaries","Sarvastivada Vinaya","1"
"Time, Speed & Distance","Inequalities","1"
"Consumerism & Environmental Sustainability","Ecological Limits","1"
"Urban Planning & Inclusion","Participatory Planning","1"
"Indian Avifauna","Ceylon Frogmouth","1"
"Natural Fibre Crops","Himalayan Nettle","1"
"Logical Reasoning","Logical Statements","2"
"Climate Policy & Uncertainty","Emissions","1"
"Bond Market Participants","Insurance","1"
"Food Safety Regulation","FSSAI","1"
"Nocturnal Wildlife","Lion-tailed Macaque","1"
"Time, Speed & Distance","Train","1"
"Pallava Rulers & Titles","Mattavilasa","1"
"Biodiversity & Climate Adaptation","Genetic Diversity","2"
"Logical Reasoning","Valid Conclusions","1"
"Number System","Combined Work","1"
"Parliamentary Sessions & Summoning","Parliamentary Calendar","1"
"Carbon Sequestration","Geological Storage","1"
"Attorney General of India","Tenure","1"
"Gandhi Peace Prize Jury","President","1"
"Number System","Best-Worst","1"
"Contempt of Courts","Constitutional Powers","1"
"Governor's Immunities","Article 361","1"
"Biotechnology Regulation & GM Crops","Regulatory Scope","1"
"Number System","Slope","1"
"Number System","Factor Pairs","1"
"Directive Principles Amendments","42nd Amendment","1"
"Rights and Duties","Community Solidarity","2"
"Gandhism and Marxism","Stateless Society","1"
"Number System","Net Change","1"
"DNA Barcoding","Species Identification","1"
"Global Food Security","Market Regulation","1"
"Early Medieval Dynasties Chronology","Cholas","1"
"Indian Philosophers","Nathamuni","1"
"Wildlife Protection Act","Schedule I Protection","1"
"Buddhist Sites","Amaravati","1"
"Employment & Structural Transformation","Job Creation","1"
"Energy Transition & Renewables","Renewable Energy","1"
"Urban Sustainability & Climate Change","Infrastructure","1"
"Innovation Programs","Digital Innovation","1"
"English Education Policy","Anglicist-Orientalist Debate","1"
"Opposition in Democracy","Opposition Role","1"
"Number System","Profit-Loss","1"
"PM Surya Ghar Yojana","Rooftop Solar","1"
"Green Hydrogen Applications","IC Engines","1"
"Logical Reasoning","Anagram","1"
"Dalit Movement Publications","Dalit Journalism","1"
"Education Outcomes & Skills","Learning Levels","1"
"ATM Network","NPCI","1"
"Preamble to the Constitution","Liberty","1"
"Logical Reasoning","Set Relations","2"
"Number System","Digit Constraints","4"
"Contempt of Courts","Contempt of Courts Act 1971","1"
"FRBM Act","Macro Economic Framework Statement","1"
"Federalism","Sarkaria Commission","1"
"Earth Rotation Shift","Mass Redistribution","1"
"Prorogation & Dissolution","President Powers","1"
"Urban Air Pollution Policy","Evidence-Based Policy","1"
"Percentage","Relative Scores","1"
"Number System","Pattern","8"
"Number System","Exponents","3"
"Basic Structure & Judicial Review","Judicial Review","1"
"Agricultural Transformation & Poverty Reduction","Price Incentives","1"
"Bhakti Saints","Kabir","1"
"Democracy & Education","Governance Quality","1"
"National Income Accounting","Non-Commercial Sector","1"
"Percentage","Net Effect","1"
"Indian Dynasties & Kings","Gurjara-Pratihara","1"
"Trust in Markets","Risk","1"
"Government of India Act 1935","Federal Structure","1"
"Permutation & Combination","Interior Cubes","1"
"Number System","Pattern Recognition","10"
"Resource-Rich Countries","Botswana Diamonds","1"
"Writ of Prohibition","Lower Courts","1"
"Poisonous Species","Butterflies","1"
"Buddhist Text Commentaries","Sanghabhuti","1"
"Social Welfare","Nutrition","1"
"Number System","Distinct Digits","5"
"Capital Budget","Capital Receipts","1"
"Number System","3D Partitioning","1"
"Logical Reasoning","Quadratic ComparisonInequalities","1"
"Number System","0<x<1","1"
"Logical Reasoning","Odd/Even","1"
"Ninth Schedule & Judicial Review","Constitutional Amendments","2"
"Decision-Making & Perseverance","Resolution","1"
"Number System","Growth Rate","1"
"Tribal Revolts","Ulgulan","1"
"Number System","Product Modulus","1"
"Zero Tillage","Carbon Sequestration","1"
"Troposphere Thickness","Equatorial Heating","1"
"Ratio & Proportion","Painted Cubes","2"
"Slavery in Arthashastra","Slave Rights","1"
"Logical Reasoning","Graph Paths","3"
"Atmospheric Phenomena","Jet Streams","1"
"Number System","Meeting Intervals","1"
"Viruses & Hosts","Bacteriophages","1"
"Number System","Ordering","4"
"Wet-Bulb Temperature Impacts","Heat Stress","1"
"Democracy & Administrative Competence","Political Accountability","1"
"Urban Waste Management & Drainage","Drainage Systems","1"
"MSME Classification & Priority Sector","MSMED Act","1"
"Chola Expeditions","Srivijaya","1"
"WHO Air Quality Guidelines","Ozone","1"
"Ancient Ports of South India","Poompuhar","1"
"Finance Commission Devolution Criteria","Governance Reforms","1"
"UN Credentials Committee","Member Credentials","1"
"Constitution Amendment Procedure","Presidential Assent","1"
"Adolescent Psychology & Parenting","Parent-Child Relations","1"
"Civil Society & State","Voluntary Associations","1"
"RBI Income Sources","Seigniorage","1"
"Permutation & Combination","Adjacent Constraints","1"
"Dyarchy","Reserved Subjects","1"
"Recirculating Aquaculture System","Nitrification","1"
"Time & Work","Work Rate","1"
"Space-based Gravitational Wave Astronomy","Gravitational Waves","1"
"Number System","Conservation of Quantity","1"
"Land-Sea Thermal Contrast","Specific Heat","1"
"World Rivers & Drainage","Mekong","1"
"Earth's Early Atmosphere","Atmospheric Evolution","1"
"Foreign Investment & Employment","Domestic Investment","1"
"Atmospheric Greenhouse Effect","CO2 Absorption","1"
"Balance of Trade & Current Account","Services Trade","1"
"Number System","Number Line","2"
"Commercialization of Agriculture","Colonial Economy","1"
"Democratic Values","Citizen Participation","1"
"Gandhism and Marxism","Political Ideologies","1"
"Biorock Technology","Coral Reef Restoration","1"
"Home Rule League","Nationalist Organizations","1"
"Distributed Energy Resources","Fuel Cells","1"
"Pneumococcal Conjugate Vaccine","Pneumonia Prevention","1"
"Cyber Attacks","Petya","1"
"10th Schedule Disqualification","Decision Authority","1"
"Bureaucracy in India","Civil Service","1"
"Election Nomination Rules","Representation of People Act","1"
"Number System","Price Comparison","1"
"Indian Handicrafts","Puthukkuli Shawls","1"
"WHO Air Quality Guidelines","PM2.5","1"
"Number System","Diminishing HeightsBounces","1"
"Happiness & Gift-Giving","Mindfulness","1"
"Climate Change Adaptation","Farmer Risk Perception","1"
"Skill Development","NSQF","1"
"Writ Jurisdiction","Mandamus","1"
"Time, Speed & Distance","Distance","1"
"Industrial Revolution Impact on India","Deindustrialization","1"
"Fuel Cell Vehicles Emissions","Hydrogen","1"
"Coal Gasification Products","Ethanol","1"
"Number System","Differences","1"
"National Pension System","Eligibility Rules","1"
"Profit & Loss","Marked Price","1"
"Permutation & Combination","Binary Strings","1"
"15th Finance Commission Recommendations","Devolution Share","1"
"Right to Education & Quality","Curricular Reform","5"
"Food Loss & Waste","Land Degradation","1"
"Handloom Sector Modernization","Viability","1"
"ATM Network","Payment Systems","1"
"Niger Seed Cultivation","Tribal Use","1"
"Kishangarh School of Painting","Rajasthani Schools","1"
"Number System","Digit Sum","9"
"Climate and Clean Air Coalition","Short-Lived Climate Pollutants","1"
"Number System","Percentage to Degrees","1"
"Number System","Currency Notes","1"
"Tidal Phenomena","Chandipur","1"
"Biorock Technology","Mineral Accretion","1"
"Indian Princely States Policy","Paramountcy","1"
"Astronomy Objects","Cepheids","1"
"Indian Ports","Visakhapatnam Port","1"
"Number System","Interest Rates","1"
"Coal Pollution & Ash","SO2/NOx","1"
"Banking Reforms & NPAs","Structural Reforms","1"
"Number System","Logic Games","1"
"Indian Wetlands & Lakes","Rudrasagar","1"
"Financial Instruments","Currency Swaps","1"
"Food Price Policy","Consumer Subsidies","1"
"Number System","Combinations","2"
"Ratio & Proportion","Linear Ratios","1"
"WTO TRIMs Agreement","Trade in Goods","1"
"Medieval Administrative Terms","Revenue Terms","1"
"Number System","Rate Calculation","1"
"Conservation & Biodiversity","Wildlife Conservation","5"
"Organic Farming Risks","Regulation","2"
"State-Level Climate Action","Adaptation","1"
"Banking Technology","Financial Inclusion","1"
"WTO Agreements","Technology Applications","1"
"Indian Ocean Naval Symposium","Maritime Cooperation","1"
"Number System","Movement","2"
"Sustainable Agriculture Practices","Legume Intensification","1"
"CRISPR-Cas9","Molecular Scissors","1"
"Bengal Exports","Cotton","1"
"Community Reserve","Wildlife Protection Act","1"
"Skill Development Programs","Recognition of Prior Learning","1"
"Paris Agreement Article 6","Non-market Mechanisms","1"
"President's Rule","State Legislature","1"
"Number System","Series","5"
"Coriolis Force","Wind Velocity","1"
"Green Hydrogen for Heavy Industry","Steel","1"
"Globalization & Economic Sovereignty","Supply Chains","1"
"Sustainable Development & Energy Transition","Recycling","1"
"Purchasing Power Parity","PPP Exchange Rates","1"
"Ecosystem Valuation","TEEB Initiative","1"
"Averages","Arithmetic Progression","1"
"Space-based Gravitational Wave Astronomy","Laser Interferometry","1"
"Number System","Pythagoras","1"
"Economic Liberalization","Export Growth","1"
"Historical Injustice & Social Discrimination","Untouchability","2"
"Education Equity","Equality of Opportunity","1"
"Plastics in Products","Cigarette Filters","1"
"Swadeshi Movement","National Council of Education","1"
"Time, Speed & Distance","Circular Motion","2"
"Logical Reasoning","Substitution Cipher","1"
"Digital Rupee","CBDC","1"
"Permutation & Combination","Numbering","1"
"Constitutional Bodies","NHRC","1"
"Number System","Odd-Even","1"
"Gandhi Peace Prize Jury","CJI","1"
"Number System","Modular ArithmeticPowers of 9","1"
"Time, Speed & Distance","Direction Sense","2"
"Ministerial Eligibility & Disqualification","Six-Month Rule","1"
"Number System","Number Properties","2"
"Soil Properties & Salinization","Sulphur Cycle","1"
"Work & Leisure","Work Ethic","1"
"Wood's Dispatch","1854","1"
"Logical Reasoning","Pattern Mapping","2"
"Employment & Economic Growth","Employment Elasticity","1"
"Truthfulness & Morality","Honesty","1"
"Swadeshi Literature","Nationalism in Bengal","1"
"Devolution & Decentralization","Grassroots Participation","1"
"Right to Education","RTE Act","1"
"Privacy Rights & State Responsibility","Digital Society","1"
"Ganga Tributaries Sequence","Gandak","1"
"Isotherms","Ocean-Continent Contrast","1"
"Space-based Gravitational Wave Astronomy","eLISA Mission","2"
"Number System","Comparative Statements","1"
"Land Reforms","Ceiling Laws","1"
"Chess Olympiad 2022","Trophy Names","1"
"Wildlife Protection Law","Protected Species","1"
"Carnatic Composers","Annamacharya","1"
"Ninth Schedule & Judicial Review","Judicial Review","2"
"Number System","Max Area","1"
"National Income Accounting","Measurement Issues","1"
"Fractional Orbital Bombardment System","Orbital Missile","1"
"Regions & Countries","Normandy","1"
"National Movements & Organizations","Peasant Movements","1"
"Capital-Output Ratio","Output Growth","1"
"Lead Bank Scheme","Rural Credit","1"
"Indian Laws & Offences","Evidence Act","1"
"Constitutional Provisions Mapping","Fundamental Duties","1"
"Prison Administration","State Subject","1"
"Indian Physiography","Pulicat Lake","1"
"Number System","Value Calculation","1"
"Equality & Democracy","Equal Standing","1"
"Permutation & Combination","Counting","11"
"Number System","Distance","3"
"Quantum Computing & AI","Deep Learning","1"
"Scheduled Areas Governance","Fifth Schedule","1"
"Constitution Amendment Procedure","Special Majority","1"
"UNCCD","Innovation Programs","1"
"EU Net-Zero Industry Act","Clean Tech","1"
"Scheduled Tribes Recognition","State-specific","1"
"Invasive Species","Biodiversity","1"
"Demographic Dividend","Workforce Structure","1"
"Tiger Monitoring Systems","Tiger Reserves","1"
"Climate-Smart Agriculture","Global Alliance","1"
"Protected Areas","Wayanad","1"
"Accelerometer Applications","Screen Rotation","1"
"Bioenergy Sustainability","Sustainable Biofuels","1"
"Indian Freedom Struggle","Royal Indian Navy Mutiny","1"
"Biochar in Agriculture","Water Retention","1"
"Wildlife Trade Monitoring","UNEP","1"
"Equity Options Market","SEBI Oversight","1"
"Early Political Associations","Madras Mahajana Sabha","1"
"Constitution Day","Constituent Assembly","1"
"Pulse Crops in India","Black Gram","1"
"Fiscal-Monetary Policy Interaction","Fiscal Policy","1"
"Wildlife Trade Monitoring","Wildlife Conservation","1"
"Biofilms","Surface Colonies","1"
"Non-Cooperation Movement","Phased Strategy","1"
"Number System","Logic Constraints","1"
"Number System","Sequence Counting","1"
"Number System","Logic","1"
"Permutation & Combination","Sums","1"
"Atmospheric Dust Distribution","Subtropics","1"
"Coal Controller?s Organization","Coal Statistics","1"
"Economic Liberalization & Role of State","Jobless Growth","1"
"Economic Insecurity & Inequality","Economic Anxiety","1"
"Permutation & Combination","3D Geometry","1"
"Sports Awards in India","Dronacharya","1"
"Red Sea Characteristics","No River Inflow","1"
"Logical Reasoning","Comparative Statements","7"
"Number System","Arrangement","1"
"Buddhist Sects","Mahayana","1"
"Number System","Numbers","1"
"3D Printing Applications","Manufacturing","1"
"Crop Diversity & Food Security","Monoculture Risks","1"
"Global Oxygen Production","Phytoplankton","1"
"Logical Reasoning","Unit Conversion","1"
"Conservation Agriculture","Crop Rotation","1"
"Fungi Properties","Insecticidal","1"
"Education for Citizenship","Critical Thinking","1"
"Supreme Court Powers","Article 142","1"
"Sports Awards in India","Arjuna","1"
"Permutation & Combination","5x5x5","1"
"Longest International Border","Canada-USA","1"
"Panchayats","Structure","1"
"Pollination & Evolutionary Function","Natural Selection","1"
